Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Rank
2013,Shooter,6.72,2.63,0.04,10.21,62
2010,Shooter,7.03,1.98,0.08,9.88,63
1996,Racing,5.55,1.94,2.23,9.87,64
2012,Platform,3.66,3.07,2.47,9.82,65
2012,Shooter,6.63,2.36,0.04,9.76,66
1997,Role-Playing,3.01,2.47,3.28,9.72,67
2013,Shooter,4.09,3.73,0.38,9.59,68
2010,Misc,5.84,2.89,0.01,9.52,69
1999,Racing,3.88,3.42,1.69,9.49,70
2007,Shooter,5.91,2.38,0.13,9.32,71
1994,Platform,4.36,1.71,3,9.3,72
2013,Misc,5.58,2.83,0.02,9.2,73
2012,Simulation,2.01,2.32,4.36,9.09,74
2007,Misc,4.46,1.88,1.98,9.02,75
2011,Role-Playing,5.03,2.86,0.1,8.84,76
1992,Racing,3.54,1.24,3.81,8.76,77
2015,Sports,1.11,6.06,0.06,8.49,78
2010,Misc,1.79,3.53,2.49,8.49,79
2004,Shooter,6.82,1.53,0.05,8.49,80
2007,Misc,3.81,2.3,1.58,8.42,81
2012,Role-Playing,2.91,1.86,3.14,8.33,82
2012,Action,1.06,5.05,0.13,8.24,83
2009,Simulation,0.98,6.42,0,8.11,84
1997,Shooter,5.8,2.01,0.13,8.09,85
2007,Sports,2.58,3.9,0.66,8.06,86
2001,Role-Playing,2.91,2.07,2.73,8.05,87
1999,Role-Playing,2.28,1.72,3.63,7.86,88
2008,Role-Playing,2.82,1.78,2.69,7.84,89
1982,Puzzle,7.28,0.45,0,7.81,90
2005,Action,2.9,2.83,0.24,7.72,91
2010,Platform,3.66,2.42,0.98,7.69,92
2015,Shooter,2.93,3.29,0.22,7.67,93
2014,Shooter,2.8,3.3,0.14,7.6,94
1998,Action,4.1,1.89,1.45,7.6,95
1997,Platform,3.78,2.17,1.31,7.58,96
1988,Platform,5.39,1.18,0.7,7.46,97
2014,Fighting,3.24,1.35,2.42,7.45,98
2008,Shooter,4.79,1.9,0,7.37,99
2011,Shooter,4.46,2.13,0.06,7.34,100
2006,Action,3.83,2.19,0.6,7.31,101
2015,Shooter,4.52,2.09,0.01,7.3,102
2009,Misc,3.51,3.03,0,7.27,103
2011,Shooter,2.85,2.93,0.35,7.23,104
2003,Racing,3.27,2.83,0.08,7.2,105
1998,Fighting,3.27,2.22,1.4,7.16,106
1998,Platform,3.68,1.75,1.42,7.13,107
2001,Fighting,4.41,1.04,1.39,7.07,108
2014,Racing,3.13,2.07,1.27,6.96,109
2015,Role-Playing,2.47,3.15,0.24,6.96,110
2003,Racing,4.12,1.77,0.87,6.95,111
2012,Misc,4.14,2.21,0,6.91,112
2013,Sports,0.78,4.32,0.07,6.9,113
2004,Racing,2.71,3.02,0.08,6.9,114
2002,Shooter,2.93,2.75,0.17,6.83,115
2011,Action,2.77,2.8,0.19,6.83,116
1996,Platform,3.23,2.35,0.94,6.82,117
2010,Sports,3.5,2.64,0,6.81,118
2008,Shooter,4.15,1.92,0.06,6.76,119
2009,Action,3.27,2.25,0.21,6.73,120
2007,Shooter,3.1,2.3,0.28,6.72,121
2011,Sports,0.84,4.32,0.11,6.69,122
2005,Misc,1.67,2.78,1.6,6.67,123
2010,Action,2.79,2.61,0.17,6.6,124
2014,Sports,0.79,4.29,0.05,6.59,125
2010,Platform,3.25,1.84,1.03,6.59,126
2011,Role-Playing,2.55,2.71,0.25,6.56,127
1986,Action,3.74,0.93,1.69,6.51,128
2012,Action,2.64,2.56,0.16,6.5,129
2001,Shooter,4.98,1.3,0.08,6.43,130
2004,Role-Playing,2.57,1.58,2.06,6.41,131
2002,Role-Playing,3.64,1.2,1.49,6.4,132
2000,Role-Playing,2.55,1.56,1.29,6.39,133
2009,Shooter,4.34,1.35,0.06,6.36,134
2010,Action,3.7,1.97,0.09,6.34,135
2002,Platform,4.01,1.26,0.87,6.31,136
1992,Fighting,2.47,0.83,2.87,6.3,137
2004,Role-Playing,0.07,6.21,0,6.28,138
1999,Action,3.11,2.8,0.02,6.27,139
2010,Sports,3.92,1.78,0.03,6.24,140
2011,Shooter,4.05,1.62,0.07,6.24,141
2006,Shooter,3.54,1.9,0.07,6.11,142
2001,Action,2.45,2.01,0.87,6.05,143
1992,Platform,4.47,1.2,0.16,6.03,144
2008,Action,2.63,1.74,0.83,6.03,145
1998,Action,3.18,1.83,0.78,6.03,146
2013,Action,2.41,2.28,0.28,5.99,147
2006,Role-Playing,1.88,0,2.33,5.95,148
2008,Platform,2.8,2.05,0.17,5.92,149
2009,Role-Playing,0.66,0.69,4.35,5.84,150
2007,Action,3.66,1.63,0,5.83,151
1998,Action,1.88,1.47,2.02,5.82,152
1996,Fighting,2.26,1.89,1.36,5.74,153
2006,Simulation,3.13,1.94,0.07,5.72,154
2014,Shooter,2.49,2.05,0.16,5.65,155
1988,Puzzle,2.97,0.69,1.81,5.58,156
2009,Action,2.54,1.95,0.21,5.57,157
1999,Fighting,2.95,0.6,1.97,5.55,158
2007,Adventure,3.28,1.65,0.07,5.55,159
2011,Action,2.7,1.91,0.11,5.53,160
2009,Racing,2.99,1.92,0.1,5.51,161
2008,Role-Playing,0.47,0.57,4.13,5.5,162
2001,Platform,3.14,1.24,0.91,5.49,163
2001,Racing,2.62,1.64,0.99,5.47,164
2001,Platform,3.21,1.11,0.95,5.46,165
1999,Strategy,3.18,1.24,0.94,5.45,166
2008,Shooter,2.72,1.87,0,5.43,167
2001,Platform,2.07,2.29,0.24,5.42,168
2014,Misc,1.97,2.51,0,5.42,169
2009,Role-Playing,1.74,1.24,1.87,5.36,170
1989,Puzzle,2.18,0.96,2,5.34,171
1999,Misc,3.02,1.12,1.01,5.31,172
2012,Action,3.13,1.71,0.03,5.3,173
2000,Role-Playing,1.62,0.77,2.78,5.3,174
2003,Role-Playing,1.92,1.08,2.11,5.29,175
1999,Platform,3.33,0.79,1.09,5.27,176
2009,Action,3.1,1.56,0.08,5.27,177
2007,Puzzle,1.22,2.48,1.03,5.26,178
1997,Action,2.3,2.46,0.2,5.24,179
N/A,Sports,4.26,0.26,0.01,5.23,180
2004,Role-Playing,0.65,0.75,3.61,5.21,181
2012,Role-Playing,2.43,2.15,0,5.2,182
2003,Platform,2.93,1.25,0.83,5.2,183
2012,Platform,2.32,1.3,1.27,5.19,184
1994,Platform,2.49,0.98,1.57,5.19,185
2012,Action,1.08,3.48,0.03,5.18,186
2007,Action,1.9,1.83,0.95,5.17,187
1995,Platform,2.1,0.74,2.2,5.15,188
2013,Simulation,0.96,2.02,1.89,5.15,189
2008,Sports,1.64,2.48,0.44,5.14,190
2003,Shooter,1.98,2.23,0.13,5.13,191
1992,Platform,2.71,0.61,1.7,5.13,192
2010,Role-Playing,3.59,1.11,0.05,5.13,193
2014,Shooter,3.21,1.53,0.01,5.13,194
1996,Simulation,3.22,1.69,0,5.12,195
2006,Misc,3.81,0.63,0,5.12,196
2009,Action,1.96,1.43,1.08,5.11,197
2014,Action,2.66,2.01,0,5.08,198
2006,Action,1.7,2.02,0.16,5.08,199
2010,Sports,0.6,3.29,0.06,5.08,200
1999,Platform,3.4,1.3,0.15,5.07,201
1996,Action,2.05,1.16,1.11,5.05,202
1999,Sports,3.42,1.38,0.02,5.02,203
2014,Fighting,2.59,1.06,0.8,5.02,204
1999,Strategy,2.79,1.89,0,5.01,205
1998,Platform,3.36,1.36,0.07,5,206
2007,Shooter,3.06,1.18,0.29,5,207
2007,Misc,3.49,0.01,0.01,4.98,208
2008,Role-Playing,3.39,1.03,0.09,4.96,209
2007,Role-Playing,1.85,1.2,1.54,4.96,210
2007,Action,2.31,1.73,0.12,4.94,211
2005,Sports,3.98,0.26,0.01,4.91,212
2007,Action,2.89,1.54,0,4.9,213
1997,Racing,2.91,0.99,0.89,4.88,214
2010,Role-Playing,0,0,4.87,4.87,215
1990,Puzzle,2.62,0.6,1.52,4.85,216
2010,Action,2.74,1.36,0.12,4.84,217
2010,Strategy,2.56,1.68,0,4.83,218
2007,Adventure,1.91,2,0.09,4.83,219
2014,Sports,0.57,3.14,0.04,4.82,220
1999,Racing,2.57,1.57,0.44,4.79,221
2016,Sports,0.28,3.75,0.06,4.77,222
2011,Action,2.99,1.31,0.04,4.76,223
2000,Action,2.36,2.1,0.02,4.73,224
2003,Racing,1.73,2.19,0,4.7,225
2000,Sports,3.05,1.41,0.02,4.68,226
2008,Simulation,1.87,1.12,1.32,4.68,227
2002,Action,1.94,1.95,0.08,4.67,228
2011,Racing,2.08,2.04,0.06,4.64,229
1996,Action,2.29,1.97,0.13,4.63,230
2007,Misc,3.06,1.12,0,4.62,231
1991,Action,2.42,0.91,1.15,4.61,232
2002,Action,2.6,0.99,0.89,4.6,233
2009,Sports,1.89,1.99,0.22,4.58,234
2013,Action,1.78,1.39,1.1,4.58,235
2015,Shooter,1.55,1.15,1.44,4.57,236
2014,Action,1.78,1.87,0.07,4.55,237
2007,Misc,3.19,0.92,0.01,4.53,238
2004,Sports,4.18,0.26,0.01,4.53,239
1981,Platform,4.21,0.24,0,4.5,240
2006,Sports,3.63,0.24,0.01,4.49,241
2002,Action,2.71,1.51,0.03,4.48,242
2000,Role-Playing,0.2,0.14,4.1,4.47,243
2015,Action,1.96,1.69,0.08,4.47,244
2014,Shooter,1.54,1.94,0.19,4.45,245
2005,Action,2.71,1.29,0.02,4.45,246
2012,Misc,2.55,1.11,0.46,4.44,247
2010,Misc,2.67,1.35,0.01,4.42,248
2001,Sports,2.66,1.29,0.01,4.41,249
2006,Sports,0.1,2.39,1.05,4.39,250
2006,Role-Playing,2.82,1.05,0.13,4.39,251
1987,Adventure,2.19,0.5,1.61,4.38,252
2005,Racing,2.03,1.79,0.08,4.37,253
2006,Shooter,1.73,1.73,0.14,4.35,254
1991,Platform,3.03,0.91,0.26,4.34,255
2005,Role-Playing,2.2,0.58,1.38,4.33,256
2013,Sports,0.92,2.93,0.01,4.31,257
2014,Shooter,2.75,1.18,0,4.31,258
1980,Shooter,4,0.26,0,4.31,259
2008,Role-Playing,2.51,1.27,0.11,4.31,260
2015,Shooter,2.64,1.2,0.03,4.26,261
2013,Platform,2.11,1.11,0.72,4.25,262
2009,Action,2.23,1.34,0.07,4.25,263
2011,Action,1.41,2.02,0.1,4.24,264
2001,Misc,3,1.11,0.05,4.24,265
2004,Action,1.46,0,0.83,4.23,266
2006,Platform,2.45,1.02,0,4.22,267
1995,Strategy,1.7,2.27,0,4.21,268
2011,Action,2.03,1.27,0.62,4.21,269
2005,Sports,0.78,2.55,0.04,4.21,270
2003,Misc,0.88,2.3,0.2,4.2,271
2016,Shooter,1.3,2.07,0.18,4.2,272
2007,Racing,1.28,1.83,0.57,4.2,273
2011,Action,2.25,1.47,0.04,4.19,274
2009,Fighting,2.02,1.06,0.58,4.19,275
2011,Sports,0.84,2.79,0.02,4.19,276
1989,Action,3.38,0.44,0.31,4.17,277
1984,Racing,2.04,0.48,1.57,4.16,278
1997,Action,3.79,0.27,0,4.16,279
2002,Sports,3.36,0.21,0.01,4.14,280
2014,Action,1.4,1.86,0.11,4.14,281
1997,Shooter,4.03,0,0.09,4.12,282
1995,Platform,1.65,0.61,1.76,4.12,283
2006,Sports,0.71,2.48,0.03,4.11,284
2011,Action,2.14,1.2,0.37,4.1,285
1992,Fighting,1.42,0.51,2.1,4.1,286
2007,Misc,2.13,1.5,0.05,4.1,287
2015,Role-Playing,2.45,1.26,0.01,4.09,288
2007,Role-Playing,2.57,1.52,0,4.09,289
2010,Role-Playing,2.65,1.06,0.04,4.08,290
2007,Action,2.32,0.04,0.04,4.07,291
2007,Racing,2.35,1.28,0.03,4.06,292
2005,Sports,0.12,2.26,0.9,4.06,293
1996,Misc,2.28,1.55,0.16,4.05,294
2000,Fighting,1.68,1.51,0.51,4.05,295
2014,Shooter,1.12,2.12,0.1,4.03,296
1997,Shooter,2.78,0.58,0.64,4.03,297
2014,Misc,1.38,1.87,0.12,4.02,298
1984,Sports,1.22,0.28,2.46,4.01,299
2008,Role-Playing,2.15,1.2,0.07,4.01,300
2007,Puzzle,0.92,1.78,0.92,4,301
2009,Shooter,2.67,0.89,0.05,3.99,302
2005,Misc,2.08,1.35,0,3.98,303
2009,Sports,2.1,1.36,0.06,3.92,304
2014,Action,1.18,1.96,0.08,3.92,305
1994,Platform,1.97,0.76,1.07,3.91,306
2003,Sports,2.29,1.17,0.01,3.9,307
2013,Action,1.33,1.71,0.13,3.89,308
2014,Role-Playing,0.67,0.49,2.62,3.89,309
2006,Racing,1.53,1.61,0.06,3.88,310
2011,Role-Playing,1.15,2.09,0,3.88,311
2005,Fighting,0.93,1.94,0.31,3.87,312
1988,Role-Playing,0.1,0,3.77,3.87,313
2010,Sports,2.12,1.14,0.1,3.87,314
2015,Sports,2.48,0.65,0.03,3.85,315
2004,Sports,0.16,1.89,1.12,3.85,316
2007,Misc,0.87,1.57,1.05,3.84,317
1995,Misc,2.12,1.44,0.22,3.84,318
1992,Action,2.21,0.96,0.54,3.83,319
2009,Role-Playing,2.26,0.48,0.81,3.83,320
2007,Misc,1.06,1.93,0.41,3.82,321
2011,Simulation,1.44,1.37,0.73,3.81,322
2015,Action,1.49,1.58,0.1,3.79,323
2011,Sports,1.14,1.91,0.27,3.78,324
2008,Action,2.4,1.03,0,3.78,325
1996,Action,1.82,1.24,0.47,3.77,326
2007,Platform,1.4,1.4,0.1,3.77,327
2013,Misc,1.98,1.47,0,3.76,328
2002,Simulation,2.03,1.56,0,3.76,329
2007,Platform,1.98,0.88,0.59,3.76,330
2001,Action,1.37,2,0.14,3.73,331
2015,Role-Playing,0.96,2,0.21,3.73,332
1999,Action,1.3,0.77,1.54,3.72,333
2000,Platform,1.93,1.58,0,3.71,334
2004,Sports,0.58,2.48,0.04,3.7,335
1998,Strategy,1.49,0.73,1.38,3.7,336
2013,Shooter,1.3,1.51,0.27,3.69,337
2007,Simulation,1.59,1.61,0.08,3.69,338
2009,Misc,0,0,3.67,3.67,339
2002,Sports,2.13,1.18,0.01,3.67,340
2005,Racing,1.65,1.22,0,3.66,341
1998,Platform,1.87,1.13,0.55,3.65,342
2002,Shooter,2.53,0.81,0.06,3.65,343
2008,Misc,2.33,0.97,0,3.65,344
2013,Racing,0.71,1.8,0.4,3.64,345
2001,Platform,2.08,1.09,0.15,3.64,346
1999,Simulation,2.23,0.68,0.66,3.63,347
2009,Sports,0.6,2.46,0.05,3.63,348
2007,Sports,0.05,0,0.64,3.63,349
2013,Shooter,1.78,1.42,0.05,3.63,350
2005,Action,2.08,0.83,0.46,3.62,351
2016,Shooter,1.28,1.61,0.15,3.61,352
2004,Shooter,1.93,1.22,0.03,3.61,353
1994,Shooter,2.05,1.4,0,3.61,354
2001,Racing,2.02,1.17,0,3.61,355
2007,Simulation,1.61,1.5,0.1,3.61,356
2001,Action,2.38,0.67,0.46,3.6,357
2005,Shooter,2.18,1.02,0.03,3.59,358
2000,Fighting,2.01,1.35,0.06,3.58,359
1997,Platform,1.57,1.79,0,3.56,360
2006,Action,1.56,1.4,0.07,3.54,361
2002,Action,1.23,1.77,0.05,3.54,362
1997,Action,1.66,1.58,0.12,3.54,363
2001,Shooter,1.9,1.13,0.1,3.53,364
2005,Action,1.98,1.14,0.01,3.53,365
2013,Shooter,2.14,1.08,0.02,3.53,366
2010,Sports,0.71,2.4,0.02,3.53,367
2000,Action,1.96,1.33,0,3.52,368
1999,Platform,2.14,1.21,0.01,3.52,369
2008,Shooter,2.66,0.5,0.05,3.52,370
2009,Sports,1.22,1.66,0.27,3.52,371
2009,Action,2.11,0.94,0.12,3.51,372
1996,Platform,1.17,0.5,1.75,3.51,373
2010,Action,2.84,0.39,0.03,3.5,374
1985,Action,1.64,0.38,1.42,3.5,375
2009,Action,2.2,0.97,0.02,3.5,376
2006,Misc,0.59,1.83,0.73,3.5,377
N/A,Sports,0.59,2.36,0.04,3.49,378
2015,Shooter,1.94,1.22,0.02,3.49,379
2010,Shooter,2.09,1.02,0.04,3.48,380
2008,Misc,2.11,1.01,0.01,3.48,381
2014,Action,2.26,0.89,0,3.46,382
2012,Shooter,0.88,1.75,0.1,3.45,383
2013,Role-Playing,0,0,3.44,3.44,384
2009,Shooter,2.39,0.73,0.03,3.44,385
2002,Fighting,1.55,1.27,0.33,3.44,386
2013,Shooter,1.34,1.54,0.17,3.43,387
2011,Platform,1.82,1.07,0.06,3.42,388
1998,Action,1.13,2.07,0,3.42,389
1994,Role-Playing,0.86,0,2.55,3.42,390
2004,Action,1.75,1.2,0.02,3.41,391
1990,Racing,1.73,0.69,0.59,3.41,392
2002,Sports,0.46,2.28,0.05,3.4,393
2000,Misc,1.56,1.47,0.19,3.39,394
2008,Action,2.03,1.03,0,3.38,395
2015,Action,1.08,1.35,0.48,3.38,396
2009,Action,1.43,0.94,0.74,3.38,397
1998,Fighting,2.47,0.76,0,3.36,398
2000,Action,1.9,0.67,0.73,3.36,399
2008,Puzzle,0.65,1.61,0.82,3.36,400
1998,Adventure,1.63,1.53,0,3.34,401
2013,Action,1.9,1.14,0.01,3.34,402
2006,Misc,0,0.99,2.32,3.33,403
2002,Shooter,1.45,1.29,0.12,3.33,404
2002,Platform,1.44,1.01,0.57,3.33,405
2012,Misc,1.15,1.17,0.76,3.32,406
2005,Action,1.47,1.39,0.03,3.32,407
2001,Shooter,1.99,1.05,0.05,3.31,408
2003,Action,1.5,1.28,0.05,3.28,409
2015,Action,0.8,1.92,0.06,3.28,410
2014,Shooter,2.13,0.92,0,3.28,411
2003,Action,1.89,1.05,0.02,3.27,412
2008,Misc,1.36,1.13,0.46,3.27,413
2009,Racing,0.5,1.59,0.31,3.27,414
2015,Action,0.25,0.19,2.78,3.26,415
1995,Fighting,0.95,1.3,0.77,3.24,416
2015,Sports,0.88,2.11,0,3.23,417
2011,Adventure,1.27,1.33,0.12,3.23,418
2015,Sports,2.33,0.3,0,3.22,419
2014,Role-Playing,0.03,0,3.18,3.22,420
1999,Shooter,1.72,1.33,0,3.21,421
1983,Sports,0.73,0.1,2.35,3.2,422
1995,Fighting,2.26,0.72,0.12,3.2,423
2000,Fighting,1.76,1.21,0.07,3.2,424
2007,Role-Playing,1.35,0.6,0.8,3.19,425
2008,Action,1.48,1.01,0.04,3.19,426
1995,Role-Playing,0,0,3.19,3.19,427
2010,Misc,2.15,0.77,0.01,3.19,428
2003,Action,1.78,1.12,0.09,3.18,429
2015,Platform,1.18,0.87,0.93,3.18,430
2010,Role-Playing,1.52,1.08,0.1,3.17,431
N/A,Action,1.86,1.02,0,3.17,432
2008,Misc,0.58,0.51,1.93,3.17,433
2001,Simulation,2.06,0.56,0.38,3.17,434
2008,Adventure,1.88,0.98,0,3.16,435
2001,Simulation,1.92,0.16,0.99,3.15,436
2008,Action,1.79,1.06,0,3.15,437
2005,Platform,1.22,1.57,0.06,3.15,438
2012,Shooter,0.88,0.97,0.88,3.15,439
2014,Shooter,1.89,0.99,0.03,3.15,440
2007,Sports,0.68,0,0,3.14,441
2000,Action,1.7,1.25,0.02,3.13,442
1998,Racing,2.14,0.86,0,3.12,443
1999,Racing,2.31,0.62,0.14,3.12,444
2006,Misc,0.91,1,1.03,3.12,445
2007,Role-Playing,1.69,0.87,0.14,3.12,446
1990,Role-Playing,0.08,0,3.03,3.12,447
2010,Adventure,1.29,1.27,0.06,3.12,448
2010,Role-Playing,1.99,0.82,0.03,3.11,449
2014,Sports,0.78,2.02,0,3.11,450
2002,Fighting,2.17,0.28,0.55,3.09,451
2001,Sports,2.5,0.16,0.01,3.08,452
1986,Sports,1.92,0.45,0.64,3.08,453
2012,Shooter,1.89,0.91,0.04,3.07,454
2013,Action,1.4,0.99,0.46,3.07,455
1994,Platform,1.57,0.62,0.55,3.07,456
2002,Simulation,1.72,1.21,0,3.07,457
2012,Role-Playing,1.94,0.86,0.03,3.07,458
2008,Action,1.91,0.84,0,3.05,459
2012,Shooter,1.38,1.35,0.02,3.04,460
2010,Platform,2.06,0.64,0.12,3.04,461
2008,Action,1.94,0.8,0.02,3.03,462
1995,Platform,1.54,1.33,0,3.03,463
2009,Shooter,1.4,1.07,0.08,3.02,464
2002,Action,1.85,1.04,0,3.02,465
1987,Fighting,2.03,0.47,0.45,3.02,466
2002,Sports,1.45,1.13,0.07,3.02,467
2015,Shooter,2.38,0.32,0,3,468
2012,Sports,2.6,0.21,0.01,3,469
2007,Fighting,1.15,0,0.76,3,470
N/A,Fighting,1.57,1.02,0,3,471
2014,Action,1.01,1.41,0.05,2.99,472
1993,Shooter,1.61,0.51,0.8,2.99,473
2000,Misc,1.67,1.18,0,2.99,474
2002,Sports,0.12,1.26,1.16,2.99,475
2001,Action,1.36,0.86,0.64,2.99,476
2015,Simulation,0.47,1,1.39,2.98,477
2010,Shooter,1.33,1.12,0.08,2.97,478
2014,Simulation,0.96,1.72,0,2.97,479
2011,Role-Playing,1.58,1.01,0,2.97,480
2003,Platform,1.04,1.37,0.06,2.96,481
2008,Platform,1.57,0.04,1.19,2.96,482
2002,Action,1.36,1.15,0.04,2.96,483
2009,Fighting,1.82,0.71,0.15,2.95,484
1996,Racing,1.98,0.58,0.34,2.94,485
2003,Shooter,2.22,0.51,0.06,2.94,486
2005,Fighting,1.45,1.11,0.04,2.94,487
2009,Action,1.76,0.69,0.12,2.94,488
2001,Puzzle,2.07,0.77,0.05,2.94,489
2007,Role-Playing,1.83,0.8,0.03,2.93,490
2006,Puzzle,0.87,1.06,0.73,2.92,491
2007,Simulation,1.43,1.13,0.05,2.91,492
2002,Platform,1.75,0.45,0.62,2.91,493
2013,Sports,0.61,1.85,0.11,2.9,494
2014,Shooter,1.84,0.8,0.04,2.9,495
2004,Misc,1.54,1.14,0,2.9,496
2008,Sports,1.75,0.86,0,2.9,497
2003,Sports,0.08,1.24,1.13,2.9,498
2012,Racing,0.71,1.51,0.06,2.89,499
2001,Sports,0.99,0.32,1.38,2.89,500
2004,Shooter,1.51,1.12,0.01,2.89,501
2011,Sports,1.54,1.07,0,2.88,502
1999,Shooter,2.03,0.72,0.02,2.88,503
2007,Simulation,1.3,1.27,0,2.88,504
1998,Racing,0.09,2.43,0.12,2.87,505
2013,Shooter,1.87,0.77,0,2.86,506
2012,Sports,2.53,0.16,0,2.86,507
2002,Role-Playing,2.09,0.63,0.03,2.86,508
2011,Fighting,1.98,0.55,0,2.85,509
1990,Racing,1.37,0.51,0.89,2.85,510
1997,Platform,1.29,0.53,0.98,2.85,511
1996,Strategy,1.37,1.34,0,2.85,512
2011,Action,1.4,1.14,0,2.85,513
2015,Sports,0.4,1.98,0.05,2.85,514
2010,Action,1.87,0.57,0.11,2.84,515
2007,Shooter,1.65,0.86,0.05,2.83,516
2009,Sports,2.52,0.09,0,2.83,517
2010,Shooter,1.28,1.05,0.07,2.83,518
2002,Fighting,1.32,1.08,0.04,2.83,519
2002,Shooter,1.96,0.67,0.1,2.82,520
2003,Action,1.59,1.05,0.04,2.82,521
1994,Adventure,0.02,2.79,0,2.81,522
2010,Racing,1.05,1.25,0.03,2.81,523
2007,Simulation,1.32,1.19,0,2.81,524
2003,Fighting,1.32,1.06,0.04,2.8,525
2008,Action,1.74,0.8,0,2.8,526
2006,Platform,1.47,0.07,1.1,2.8,527
1997,Sports,0.29,0.2,2.13,2.79,528
2011,Shooter,1.45,0.88,0.09,2.79,529
1998,Platform,1.96,0.72,0,2.79,530
2001,Fighting,1.19,1.15,0.04,2.79,531
1992,Role-Playing,0,0,2.78,2.79,532
1996,Fighting,1.98,0.7,0,2.79,533
2011,Shooter,0.89,1.43,0,2.79,534
2001,Sports,2.19,0.22,0,2.79,535
2009,Puzzle,0.3,1.47,0.68,2.79,536
2011,Role-Playing,0.46,0.29,1.96,2.79,537
2003,Platform,1.68,0.74,0,2.78,538
2014,Action,1.27,0.97,0.07,2.78,539
2003,Platform,1.44,0.83,0.26,2.78,540
2009,Fighting,1.2,0.98,0.17,2.78,541
2003,Simulation,1.41,1.12,0,2.77,542
2007,Platform,1.24,1.2,0.04,2.77,543
2011,Action,1.25,1.15,0.07,2.77,544
1980,Shooter,2.56,0.17,0,2.76,545
1992,Misc,1.43,0.54,0.71,2.75,546
2013,Action,1.07,1.31,0.06,2.74,547
2000,Strategy,1.02,0.36,1.13,2.73,548
1986,Action,1.33,0.31,1.04,2.73,549
2011,Adventure,1.52,0.94,0.02,2.72,550
2006,Shooter,1.49,0.93,0.02,2.71,551
2002,Action,1.75,0.52,0.33,2.7,552
2001,Action,0.99,0.48,1.09,2.7,553
2015,Fighting,1.47,0.76,0,2.7,554
1998,Misc,1.25,0.53,0.87,2.7,555
2011,Sports,2.42,0.11,0,2.69,556
